ship_name,ship_id,country,maximum_dispersion,firing_range,initial_he_velocity,initial_ap_velocity,maximum_speed
Atlanta_B,Atlanta_B,U.S.A.,115,13,792,792,32
Boise,Boise,U.S.A.,126,13,812,762,30
Flint,Flint,U.S.A.,108,12,792,792,32
Baltimore,Baltimore,U.S.A.,132,14,823,762,32
Wichita,Wichita,U.S.A.,142,15,823,853,33
Anchorage,Anchorage,U.S.A.,140,15,823,853,33
Congress,Congress,U.S.A.,195,17,808,762,33
Rochester,Rochester,U.S.A.,142,15,823,762,33
San_Diego,San_Diego,U.S.A.,135,14,,792,32
AL_Montpelier,AL_Montpelier,U.S.A.,140,15,812,762,32
Protector,Protector,,,,,,
Buffalo,Buffalo,U.S.A.,142,14,823,762,33
Seattle,Seattle,U.S.A.,141,14,812,762,33
Vallejo,Vallejo,U.S.A.,141,15,812,762,32
Alaska,Alaska,U.S.A.,207,18,808,762,33
Tulsa,Tulsa,U.S.A.,126,14,823,762,33
Alaska_B,Alaska_B,U.S.A.,207,18,808,762,33
Cambridge,Cambridge,,,,,,
Des_Moines,Des_Moines,U.S.A.,142,15,823,762,33
Worcester,Worcester,U.S.A.,148,16,812,762,33
Puerto_Rico,Puerto_Rico,U.S.A.,248,18,808,762,33
Salem,Salem,U.S.A.,142,15,823,762,33
Austin,Austin,U.S.A.,136,15,808,,35
Jacksonville,Jacksonville,U.S.A.,152,18,812,762,34
Annapolis,Annapolis,U.S.A.,144,16,823,762,33
Sutlej,Sutlej,Commonwealth,78,8,811,,19
Port_Jackson,Port_Jackson,Commonwealth,117,11,773,773,26
Caradoc,Caradoc,Commonwealth,122,11,853,853,29
Dunedin,Dunedin,Commonwealth,126,12,853,853,29
Delhi,Delhi,Commonwealth,127,12,841,841,32
Hobart,Hobart,Commonwealth,123,13,841,841,32
Perth,Perth,Commonwealth,121,12,841,841,32
Mysore,Mysore,Commonwealth,129,14,811,870,31
Uganda,Uganda,Commonwealth,139,14,841,841,31
Gambia,Gambia,,,,,,
River_Gambra,River_Gambra,,,,,,
Auckland,Auckland,Commonwealth,143,14,841,841,33
Encounter,Encounter,Commonwealth,146,15,841,841,33
Hector,Hector,Commonwealth,140,15,792,792,34
Cerberus,Cerberus,Commonwealth,157,18,841,841,34
Brisbane,Brisbane,Commonwealth,141,15,768,768,33
Brisbane_B,Brisbane_B,,,,,,
Gryf,Gryf,Europe,95,10,900,,20
Elli,Elli,Europe,147,16,950,1000,37
Svea,Svea,Europe,139,16,900,900,34
Hermelin,Hermelin,Germany,88,9,900,,24
Dresden,Dresden,Germany,108,9,710,710,25
Emden,Emden,Germany,101,9,710,710,24
Kolberg,Kolberg,Germany,109,10,715,715,27
Karlsruhe,Karlsruhe,Germany,104,10,835,835,27
Königsberg,Königsberg,Germany,136,14,960,960,32
Nürnberg,Nürnberg,Germany,136,14,960,960,32
Admiral_Graf_Spee,Admiral_Graf_Spee,Germany,182,16,910,910,28
Leipzig,Leipzig,Germany,126,13,960,960,32
HSF_Admiral_Graf_Spee,HSF_Admiral_Graf_Spee,Germany,182,16,910,910,28
Yorck,Yorck,Germany,141,15,900,900,32
München,München,Germany,147,16,875,875,36
Weimar,Weimar,Germany,129,14,960,960,31
München_B,München_B,,,,,,
Admiral_Hipper,Admiral_Hipper,Germany,143,16,925,925,32
Prinz_Eugen,Prinz_Eugen,Germany,153,17,925,925,32
Mainz,Mainz,Germany,153,17,960,960,32
Schill,Schill,Germany,152,17,910,910,32
Mainz_B,Mainz_B,Germany,153,17,960,960,32
Cross_of_Dorn,Cross_of_Dorn,Germany,153,17,960,960,32
Wiesbaden,Wiesbaden,Germany,136,15,960,960,32
Roon,Roon,Germany,155,16,925,925,32
Siegfried,Siegfried,Germany,175,20,820,820,33
Ägir,Ägir,Germany,203,18,865,865,33
