ship_name,ship_id,country,maximum_dispersion,firing_range,initial_he_velocity,initial_ap_velocity,maximum_speed
Z-46,Z-46,Germany,89,10,830,830,37
Felix_Schultz,Felix_Schultz,Germany,54,11,960,960,36
Z-44,Z-44,Germany,98,11,830,830,36
ZF-6,ZF-6,Germany,103,11,880,880,35
ZF,ZF,,,,,,
Z-52,Z-52,Germany,105,12,830,830,37
Elbing,Elbing,Germany,61,13,960,960,36
Z-42,Z-42,Germany,109,12,900,900,36
Georg_Hoffmann,Georg_Hoffmann,Germany,54,11,960,960,37
Georg_Hoffmann_Golden,Georg_Hoffmann_Golden,,,,,,
Lübeck,Lübeck,,,,,,
Z,Z,,,,,,
Storozhevoi,Storozhevoi,U.S.S.R.,87,9,823,823,35
Derzki,Derzki,U.S.S.R.,85,8,823,823,34
Izyaslav,Izyaslav,U.S.S.R.,84,9,823,823,35
Gremyashchy,Gremyashchy,U.S.S.R.,104,11,870,870,37
Gnevny,Gnevny,U.S.S.R.,104,10,870,870,38
Podvoisky,Podvoisky,U.S.S.R.,86,9,861,861,42
Okhotnik,Okhotnik,U.S.S.R.,83,9,861,861,34
Ognevoi,Ognevoi,U.S.S.R.,105,10,870,870,37
Kiev,Kiev,U.S.S.R.,98,11,870,870,42
Minsk,Minsk,U.S.S.R.,106,11,870,870,43
Leningrad,Leningrad,U.S.S.R.,101,11,870,870,43
Tashkent_'39,Tashkent_'39,U.S.S.R.,93,10,870,870,44
Tashkent,Tashkent,U.S.S.R.,110,11,870,870,42
Provorny,Provorny,,,,,,
Udaloi,Udaloi,U.S.S.R.,105,11,900,900,40
Neustrashimy,Neustrashimy,U.S.S.R.,110,12,950,950,36
Khabarovsk,Khabarovsk,U.S.S.R.,99,11,900,900,43
Grozovoi,Grozovoi,U.S.S.R.,107,12,950,950,39
Delny,Delny,U.S.S.R.,113,13,950,950,43
Zorkiy,Zorkiy,U.S.S.R.,107,12,950,950,43
Curtatone,Curtatone,Italy,60,5,850,,32
Nazario_Sauro,Nazario_Sauro,Italy,61,5,850,,35
Turbine,Turbine,Italy,62,5,850,,33
Maestrale,Maestrale,Italy,61,6,840,,38
Aviere,Aviere,Italy,106,6,950,,38
Leone,Leone,Italy,105,12,850,850,34
Luca_Tarigo,Luca_Tarigo,Italy,66,6,950,,38
FR25,FR25,Italy,109,12,700,,36
Vittorio_Cuniberti,Vittorio_Cuniberti,Italy,79,7,950,,39
Adriatico,Adriatico,Italy,79,8,875,,39
Paolo_Emilio,Paolo_Emilio,Italy,99,11,875,,43
Attilio_Regolo,Attilio_Regolo,Italy,87,9,875,,41
Alberico_da_Barbiano,Alberico_da_Barbiano,,,,,,
Juruá,Juruá,Pan-America,91,10,808,808,36
La_Pampa,La_Pampa,Pan-America,107,12,746,746,34
Tachibana,Tachibana,Japan,75,8,680,690,30
Umikaze,Umikaze,Japan,75,8,660,660,33
Tachibana_Lima,Tachibana_Lima,Japan,75,8,680,690,30
Wakatake,Wakatake,Japan,85,9,825,825,35
Isokaze,Isokaze,Japan,95,9,660,660,34
Minekaze,Minekaze,Japan,81,8,825,825,39
Fūjin,Fūjin,Japan,80,8,825,825,37
Kamikaze,Kamikaze,Japan,80,8,825,825,37
Kamikaze_R,Kamikaze_R,Japan,80,8,825,825,37
Mutsuki,Mutsuki,Japan,81,8,825,825,37
Fubuki,Fubuki,Japan,93,10,915,915,35
Hatsuharu,Hatsuharu,Japan,88,9,915,915,36
Shinonome_B,Shinonome_B,Japan,82,9,915,915,35
Shinonome,Shinonome,Japan,82,9,915,915,35
Akatsuki,Akatsuki,Japan,92,9,915,915,38
Shiratsuyu,Shiratsuyu,Japan,97,10,915,915,34
Yūdachi,Yūdachi,Japan,103,11,915,915,34
Akizuki,Akizuki,Japan,99,11,1000,1000,33
Kagerō,Kagerō,Japan,79,8,915,915,35
Asashio,Asashio,Japan,97,10,915,915,35
HSF_Harekaze_II,HSF_Harekaze_II,Japan,100,11,875,875,35
Asashio_B,Asashio_B,Japan,97,10,915,915,35
HSF_Harekaze,HSF_Harekaze,Japan,85,9,915,915,35
AL_Yukikaze,AL_Yukikaze,Japan,85,9,915,915,35
Yūgumo,Yūgumo,Japan,97,10,915,915,35
Kitakaze,Kitakaze,Japan,108,11,1000,1000,36
Minegumo,Minegumo,Japan,97,10,915,915,35
