ship_name,ship_id,country,maximum_dispersion,firing_range,initial_he_velocity,initial_ap_velocity,maximum_speed
Benson,Benson,U.S.A.,101.0,10.0,792.0,792.0,38.0
Osborne,Osborne,,,,,,
Kidd,Kidd,U.S.A.,105.0,12.0,792.0,792.0,38.0
Fletcher,Fletcher,U.S.A.,103.0,11.0,792.0,792.0,36.0
Christopher,Christopher,,,,,,
Benham,Benham,U.S.A.,109.0,12.0,792.0,792.0,36.0
Halford,Halford,U.S.A.,91.0,10.0,792.0,792.0,38.0
Black_B,Black_B,U.S.A.,111.0,12.0,792.0,792.0,35.0
Black,Black,U.S.A.,111.0,12.0,792.0,792.0,35.0
Johnston,Johnston,U.S.A.,109.0,12.0,792.0,,38.0
GQ_Johnny,GQ_Johnny,,,,,,
Frank_Friday,Frank_Friday,,,,,,
Gearing,Gearing,U.S.A.,98.0,11.0,792.0,792.0,36.0
Burrows,Burrows,,,,,,
Somers,Somers,U.S.A.,102.0,11.0,792.0,792.0,38.0
Forrest_Sherman,Forrest_Sherman,U.S.A.,109.0,12.0,808.0,,33.0
Laffey,Laffey,,,,,,
Hull,Hull,,,,,,
Joshua_Humphreys,Joshua_Humphreys,U.S.A.,105.0,12.0,808.0,808.0,37.0
Vampire,Vampire,Commonwealth,90.0,10.0,805.0,805.0,34.0
Haida,Haida,Commonwealth,107.0,12.0,808.0,808.0,36.0
Huron,Huron,Commonwealth,107.0,12.0,808.0,808.0,36.0
Vampire_II,Vampire_II,Commonwealth,110.0,12.0,746.0,746.0,35.0
Tátra,Tátra,Europe,83.0,8.0,880.0,880.0,32.0
Romulus,Romulus,Europe,86.0,8.0,840.0,840.0,34.0
Klas_Horn,Klas_Horn,Europe,86.0,8.0,800.0,800.0,37.0
Visby,Visby,Europe,79.0,8.0,900.0,900.0,39.0
Muavenet,Muavenet,Europe,93.0,9.0,808.0,,35.0
Kalmar,Kalmar,Europe,88.0,9.0,900.0,900.0,39.0
Västerås,Västerås,Europe,89.0,9.0,900.0,900.0,38.0
Stord,Stord,Europe,97.0,10.0,808.0,,36.0
Skåne,Skåne,Europe,90.0,9.0,850.0,850.0,35.0
Grom,Grom,Europe,89.0,9.0,900.0,,39.0
Błyskawica,Błyskawica,Europe,105.0,12.0,900.0,900.0,39.0
Stord_'43,Stord_'43,Europe,103.0,11.0,808.0,808.0,36.0
Öland,Öland,Europe,90.0,9.0,850.0,850.0,35.0
Split,Split,Europe,92.0,10.0,840.0,,38.0
Orkan,Orkan,Europe,102.0,11.0,774.0,774.0,35.0
Błyskawica_'44,Błyskawica_'44,,,,,,
Östergötland,Östergötland,Europe,84.0,9.0,850.0,850.0,35.0
Lambros_Katsonis,Lambros_Katsonis,Europe,93.0,10.0,840.0,,38.0
Velos,Velos,Europe,106.0,12.0,792.0,792.0,38.0
Friesland,Friesland,Europe,107.0,12.0,825.0,825.0,36.0
Jäger,Jäger,Europe,85.0,9.0,880.0,880.0,37.0
Halland,Halland,Europe,93.0,10.0,825.0,825.0,35.0
Gdańsk,Gdańsk,Europe,105.0,12.0,840.0,,41.0
Småland,Småland,Europe,100.0,11.0,825.0,825.0,35.0
Ragnar,Ragnar,Europe,60.0,13.0,900.0,900.0,35.0
Södermanland,Södermanland,,,,,,
Dalarna,Dalarna,Europe,98.0,11.0,825.0,825.0,36.0
V-25,V-25,Germany,77.0,7.0,750.0,750.0,36.0
G-101,G-101,Germany,76.0,8.0,715.0,715.0,33.0
V-170,V-170,Germany,82.0,8.0,715.0,715.0,35.0
T-22,T-22,Germany,83.0,9.0,780.0,780.0,34.0
Ernst_Gaede,Ernst_Gaede,Germany,89.0,9.0,830.0,830.0,36.0
T-61,T-61,Germany,102.0,11.0,830.0,830.0,35.0
Karl_von_Schönberg,Karl_von_Schönberg,Germany,104.0,11.0,835.0,835.0,36.0
Leberecht_Maass,Leberecht_Maass,Germany,96.0,9.0,830.0,830.0,37.0
Z-31,Z-31,Germany,51.0,10.0,835.0,835.0,36.0
Z-39,Z-39,Germany,103.0,11.0,835.0,835.0,36.0
Z-32,Z-32,,,,,,
Z,Z,,,,,,
Z,Z,,,,,,
Z,Z,,,,,,
Z-23,Z-23,Germany,88.0,9.0,830.0,830.0,37.0
Gustav,Gustav,Germany,56.0,10.0,835.0,835.0,36.0
Z-35,Z-35,Germany,105.0,12.0,830.0,830.0,36.0
Z-46,Z-46,Germany,89.0,10.0,830.0,830.0,37.0
Felix_Schultz,Felix_Schultz,Germany,54.0,11.0,960.0,960.0,36.0
Z-44,Z-44,Germany,98.0,11.0,830.0,830.0,36.0
ZF-6,ZF-6,Germany,103.0,11.0,880.0,880.0,35.0
ZF,ZF,,,,,,
Z-52,Z-52,Germany,105.0,12.0,830.0,830.0,37.0
Elbing,Elbing,Germany,61.0,13.0,960.0,960.0,36.0
Z-42,Z-42,Germany,109.0,12.0,900.0,900.0,36.0
Georg_Hoffmann,Georg_Hoffmann,Germany,54.0,11.0,960.0,960.0,37.0
Georg_Hoffmann_Golden,Georg_Hoffmann_Golden,,,,,,
Lübeck,Lübeck,,,,,,
Z,Z,,,,,,
Storozhevoi,Storozhevoi,U.S.S.R.,87.0,9.0,823.0,823.0,35.0
Derzki,Derzki,U.S.S.R.,85.0,8.0,823.0,823.0,34.0
Izyaslav,Izyaslav,U.S.S.R.,84.0,9.0,823.0,823.0,35.0
Gremyashchy,Gremyashchy,U.S.S.R.,104.0,11.0,870.0,870.0,37.0
Gnevny,Gnevny,U.S.S.R.,104.0,10.0,870.0,870.0,38.0
Podvoisky,Podvoisky,U.S.S.R.,86.0,9.0,861.0,861.0,42.0
Okhotnik,Okhotnik,U.S.S.R.,83.0,9.0,861.0,861.0,34.0
Ognevoi,Ognevoi,U.S.S.R.,105.0,10.0,870.0,870.0,37.0
Kiev,Kiev,U.S.S.R.,98.0,11.0,870.0,870.0,42.0
Minsk,Minsk,U.S.S.R.,106.0,11.0,870.0,870.0,43.0
Leningrad,Leningrad,U.S.S.R.,101.0,11.0,870.0,870.0,43.0
Tashkent_'39,Tashkent_'39,U.S.S.R.,93.0,10.0,870.0,870.0,44.0
Tashkent,Tashkent,U.S.S.R.,110.0,11.0,870.0,870.0,42.0
Provorny,Provorny,,,,,,
Udaloi,Udaloi,U.S.S.R.,105.0,11.0,900.0,900.0,40.0
Neustrashimy,Neustrashimy,U.S.S.R.,110.0,12.0,950.0,950.0,36.0
Khabarovsk,Khabarovsk,U.S.S.R.,99.0,11.0,900.0,900.0,43.0
Grozovoi,Grozovoi,U.S.S.R.,107.0,12.0,950.0,950.0,39.0
Delny,Delny,U.S.S.R.,113.0,13.0,950.0,950.0,43.0
Zorkiy,Zorkiy,U.S.S.R.,107.0,12.0,950.0,950.0,43.0
Curtatone,Curtatone,Italy,60.0,5.0,850.0,,32.0
Nazario_Sauro,Nazario_Sauro,Italy,61.0,5.0,850.0,,35.0
Turbine,Turbine,Italy,62.0,5.0,850.0,,33.0
Maestrale,Maestrale,Italy,61.0,6.0,840.0,,38.0
Aviere,Aviere,Italy,106.0,6.0,950.0,,38.0
Leone,Leone,Italy,105.0,12.0,850.0,850.0,34.0
Luca_Tarigo,Luca_Tarigo,Italy,66.0,6.0,950.0,,38.0
FR25,FR25,Italy,109.0,12.0,700.0,,36.0
Vittorio_Cuniberti,Vittorio_Cuniberti,Italy,79.0,7.0,950.0,,39.0
Adriatico,Adriatico,Italy,79.0,8.0,875.0,,39.0
Paolo_Emilio,Paolo_Emilio,Italy,99.0,11.0,875.0,,43.0
Attilio_Regolo,Attilio_Regolo,Italy,87.0,9.0,875.0,,41.0
Alberico_da_Barbiano,Alberico_da_Barbiano,,,,,,
Juruá,Juruá,Pan-America,91.0,10.0,808.0,808.0,36.0
La_Pampa,La_Pampa,Pan-America,107.0,12.0,746.0,746.0,34.0
Tachibana,Tachibana,Japan,75.0,8.0,680.0,690.0,30.0
Umikaze,Umikaze,Japan,75.0,8.0,660.0,660.0,33.0
Tachibana_Lima,Tachibana_Lima,Japan,75.0,8.0,680.0,690.0,30.0
Wakatake,Wakatake,Japan,85.0,9.0,825.0,825.0,35.0
Isokaze,Isokaze,Japan,95.0,9.0,660.0,660.0,34.0
Minekaze,Minekaze,Japan,81.0,8.0,825.0,825.0,39.0
Fūjin,Fūjin,Japan,80.0,8.0,825.0,825.0,37.0
Kamikaze,Kamikaze,Japan,80.0,8.0,825.0,825.0,37.0
Kamikaze_R,Kamikaze_R,Japan,80.0,8.0,825.0,825.0,37.0
Mutsuki,Mutsuki,Japan,81.0,8.0,825.0,825.0,37.0
Fubuki,Fubuki,Japan,93.0,10.0,915.0,915.0,35.0
Hatsuharu,Hatsuharu,Japan,88.0,9.0,915.0,915.0,36.0
Shinonome_B,Shinonome_B,Japan,82.0,9.0,915.0,915.0,35.0
Shinonome,Shinonome,Japan,82.0,9.0,915.0,915.0,35.0
Akatsuki,Akatsuki,Japan,92.0,9.0,915.0,915.0,38.0
Shiratsuyu,Shiratsuyu,Japan,97.0,10.0,915.0,915.0,34.0
Yūdachi,Yūdachi,Japan,103.0,11.0,915.0,915.0,34.0
Akizuki,Akizuki,Japan,99.0,11.0,1000.0,1000.0,33.0
Kagerō,Kagerō,Japan,79.0,8.0,915.0,915.0,35.0
Asashio,Asashio,Japan,97.0,10.0,915.0,915.0,35.0
HSF_Harekaze_II,HSF_Harekaze_II,Japan,100.0,11.0,875.0,875.0,35.0
Asashio_B,Asashio_B,Japan,97.0,10.0,915.0,915.0,35.0
HSF_Harekaze,HSF_Harekaze,Japan,85.0,9.0,915.0,915.0,35.0
AL_Yukikaze,AL_Yukikaze,Japan,85.0,9.0,915.0,915.0,35.0
Yūgumo,Yūgumo,Japan,97.0,10.0,915.0,915.0,35.0
Kitakaze,Kitakaze,Japan,108.0,11.0,1000.0,1000.0,36.0
Minegumo,Minegumo,Japan,97.0,10.0,915.0,915.0,35.0
STAR_Kitakaze,STAR_Kitakaze,Japan,108.0,12.0,1000.0,1000.0,36.0
Shimakaze,Shimakaze,Japan,100.0,11.0,915.0,915.0,39.0
Harugumo,Harugumo,Japan,109.0,12.0,1000.0,1000.0,35.0
Hayate,Hayate,Japan,102.0,11.0,915.0,915.0,37.0
AL_Shimakaze,AL_Shimakaze,Japan,105.0,11.0,915.0,915.0,39.0
Yamagiri,Yamagiri,Japan,105.0,12.0,915.0,915.0,39.0
Medea,Medea,U.K.,102.0,8.0,664.0,664.0,32.0
Valkyrie,Valkyrie,U.K.,95.0,9.0,811.0,811.0,34.0
Campbeltown,Campbeltown,U.K.,84.0,9.0,884.0,884.0,35.0
Wakeful,Wakeful,U.K.,96.0,9.0,811.0,811.0,35.0
Acasta,Acasta,U.K.,90.0,10.0,808.0,808.0,35.0
Icarus,Icarus,U.K.,102.0,10.0,808.0,808.0,35.0
Gallant,Gallant,U.K.,91.0,10.0,808.0,808.0,36.0
Jervis,Jervis,U.K.,97.0,10.0,808.0,808.0,36.0
Jupiter_'42,Jupiter_'42,U.K.,105.0,12.0,811.0,808.0,36.0
Lightning,Lightning,U.K.,106.0,11.0,774.0,774.0,36.0
Cossack,Cossack,U.K.,104.0,11.0,808.0,808.0,36.0
Cossack_B,Cossack_B,U.K.,104.0,11.0,808.0,808.0,36.0
Eskimo,Eskimo,,,,,,
Jutland,Jutland,U.K.,100.0,11.0,746.0,746.0,34.0
Somme,Somme,U.K.,108.0,12.0,746.0,746.0,34.0
Barfleur,Barfleur,,,,,,
Daring,Daring,U.K.,110.0,12.0,746.0,746.0,35.0
Druid,Druid,U.K.,105.0,12.0,,975.0,35.0
Enseigne_Gabolde,Enseigne_Gabolde,France,102.0,8.0,780.0,780.0,31.0
Fusilier,Fusilier,France,103.0,9.0,780.0,780.0,34.0
Bourrasque,Bourrasque,France,103.0,10.0,725.0,725.0,33.0
L'Adroit,L'Adroit,France,99.0,11.0,725.0,725.0,33.0
Jaguar,Jaguar,France,97.0,10.0,725.0,725.0,35.0
Siroco,Siroco,France,103.0,11.0,725.0,725.0,33.0
Duchaffault,Duchaffault,France,100.0,11.0,950.0,950.0,38.0
Guépard,Guépard,France,112.0,11.0,700.0,700.0,36.0
Aigle,Aigle,France,110.0,12.0,700.0,700.0,36.0
Le_Hardi,Le_Hardi,France,105.0,12.0,840.0,800.0,37.0
Vauquelin,Vauquelin,France,103.0,11.0,700.0,700.0,36.0
L'Aventurier,L'Aventurier,France,105.0,12.0,840.0,800.0,35.0
Le_Fantasque,Le_Fantasque,France,103.0,11.0,840.0,840.0,42.0
Le_Terrible,Le_Terrible,France,107.0,12.0,840.0,840.0,43.0
Orage,Orage,France,106.0,12.0,808.0,808.0,34.0
Mogador,Mogador,France,102.0,11.0,840.0,840.0,43.0
Cassard,Cassard,France,119.0,13.0,808.0,808.0,34.0
Kléber,Kléber,France,116.0,13.0,840.0,840.0,44.0
Marceau,Marceau,France,101.0,11.0,808.0,808.0,44.0
Kléber_CLR,Kléber_CLR,France,116.0,13.0,840.0,840.0,44.0
Kléber_TE,Kléber_TE,,,,,,
Longjiang,Longjiang,Pan-Asia,78.0,7.0,715.0,715.0,36.0
Phra_Ruang,Phra_Ruang,Pan-Asia,80.0,7.0,664.0,664.0,36.0
Shenyang,Shenyang,Pan-Asia,81.0,8.0,960.0,960.0,39.0
Jianwei,Jianwei,Pan-Asia,97.0,9.0,814.0,814.0,37.0
Fushun,Fushun,Pan-Asia,104.0,10.0,870.0,870.0,38.0
Anshan,Anshan,Pan-Asia,104.0,11.0,870.0,870.0,38.0
Gadjah_Mada,Gadjah_Mada,Pan-Asia,104.0,10.0,808.0,808.0,36.0
Hsienyang,Hsienyang,Pan-Asia,100.0,11.0,792.0,792.0,37.0
Siliwangi,Siliwangi,Pan-Asia,108.0,12.0,870.0,870.0,36.0
Loyang,Loyang,Pan-Asia,101.0,11.0,792.0,792.0,38.0
Fenyang,Fenyang,Pan-Asia,108.0,12.0,1000.0,1000.0,33.0
Loyang_B,Loyang_B,Pan-Asia,101.0,11.0,792.0,792.0,38.0
Zhu_Que,Zhu_Que,Pan-Asia,105.0,12.0,792.0,792.0,38.0
Ship_Smasha,Ship_Smasha,Pan-Asia,108.0,12.0,1000.0,1000.0,33.0
Chung_Mu,Chung_Mu,Pan-Asia,97.0,11.0,792.0,792.0,38.0
Nanning,Nanning,,,,,,
Yueyang,Yueyang,Pan-Asia,104.0,11.0,792.0,792.0,36.0
Lüshun,Lüshun,Pan-Asia,110.0,12.0,950.0,950.0,36.0
Kunming,Kunming,Pan-Asia,115.0,13.0,792.0,792.0,38.0
Álvaro_de_Bazán,Álvaro_de_Bazán,Spain,109.0,12.0,825.0,825.0,40.0
Van_Kinsbergen,Van_Kinsbergen,Netherlands,100.0,11.0,900.0,,25.0
Gelderland,Gelderland,Netherlands,102.0,11.0,820.0,820.0,20.0
Java,Java,Netherlands,112.0,11.0,900.0,900.0,30.0
De_Ruyter,De_Ruyter,Netherlands,119.0,12.0,900.0,900.0,32.0
Celebes,Celebes,Netherlands,120.0,12.0,900.0,900.0,30.0
Kijkduin,Kijkduin,Netherlands,133.0,13.0,900.0,900.0,33.0
Eendracht,Eendracht,Netherlands,125.0,13.0,900.0,900.0,33.0
Jaarsveld,Jaarsveld,,,,,,
Haarlem,Haarlem,Netherlands,178.0,14.0,925.0,925.0,32.0
De_Zeven_Provinciën,De_Zeven_Provinciën,Netherlands,143.0,16.0,900.0,900.0,32.0
Vrijheid,Vrijheid,Netherlands,5.0,5.0,,,5.0
Admiraal,Admiraal,,,,,,
Statenland,Statenland,,,,,,
Menno_van_Coehoorn,Menno_van_Coehoorn,,,,,,
Johan_de_Witt,Johan_de_Witt,Netherlands,182.0,14.0,900.0,900.0,32.0
Van_Speijk,Van_Speijk,Netherlands,140.0,15.0,925.0,925.0,32.0
Utrecht,Utrecht,,,,,,
Gouden_Leeuw,Gouden_Leeuw,Netherlands,186.0,16.0,890.0,890.0,33.0
Prins_van_Oranje,Prins_van_Oranje,Netherlands,234.0,10.0,,,1.0
Prins_van_Oranje_Golden,Prins_van_Oranje_Golden,,,,,,
Noord,Noord,,,,,,
Erie,Erie,U.S.A.,86.0,9.0,853.0,,20.0
Chester,Chester,U.S.A.,96.0,9.0,914.0,914.0,24.0
Albany,Albany,U.S.A.,83.0,9.0,853.0,853.0,20.0
St._Louis,St._Louis,U.S.A.,111.0,11.0,853.0,853.0,22.0
Charleston,Charleston,U.S.A.,118.0,12.0,853.0,853.0,22.0
Phoenix,Phoenix,U.S.A.,128.0,13.0,853.0,853.0,35.0
Omaha,Omaha,U.S.A.,137.0,13.0,914.0,914.0,34.0
Marblehead,Marblehead,U.S.A.,128.0,13.0,914.0,914.0,34.0
Marblehead_Lima,Marblehead_Lima,U.S.A.,128.0,13.0,914.0,914.0,34.0
Rattlehead,Rattlehead,U.S.A.,128.0,13.0,914.0,914.0,34.0
Cleveland,Cleveland,U.S.A.,140.0,14.0,812.0,762.0,32.0
Pensacola,Pensacola,U.S.A.,131.0,14.0,823.0,853.0,32.0
Dallas,Dallas,U.S.A.,131.0,13.0,812.0,762.0,32.0
Atlanta,Atlanta,U.S.A.,115.0,13.0,792.0,792.0,32.0
New_Orleans,New_Orleans,U.S.A.,134.0,14.0,823.0,853.0,32.0
Helena,Helena,U.S.A.,133.0,13.0,812.0,762.0,32.0
Indianapolis,Indianapolis,U.S.A.,149.0,16.0,823.0,853.0,32.0
Atlanta_B,Atlanta_B,U.S.A.,115.0,13.0,792.0,792.0,32.0
Boise,Boise,U.S.A.,126.0,13.0,812.0,762.0,30.0
Flint,Flint,U.S.A.,108.0,12.0,792.0,792.0,32.0
Baltimore,Baltimore,U.S.A.,132.0,14.0,823.0,762.0,32.0
Wichita,Wichita,U.S.A.,142.0,15.0,823.0,853.0,33.0
Anchorage,Anchorage,U.S.A.,140.0,15.0,823.0,853.0,33.0
Congress,Congress,U.S.A.,195.0,17.0,808.0,762.0,33.0
Rochester,Rochester,U.S.A.,142.0,15.0,823.0,762.0,33.0
San_Diego,San_Diego,U.S.A.,135.0,14.0,,792.0,32.0
AL_Montpelier,AL_Montpelier,U.S.A.,140.0,15.0,812.0,762.0,32.0
Protector,Protector,,,,,,
Buffalo,Buffalo,U.S.A.,142.0,14.0,823.0,762.0,33.0
Seattle,Seattle,U.S.A.,141.0,14.0,812.0,762.0,33.0
Vallejo,Vallejo,U.S.A.,141.0,15.0,812.0,762.0,32.0
Alaska,Alaska,U.S.A.,207.0,18.0,808.0,762.0,33.0
Tulsa,Tulsa,U.S.A.,126.0,14.0,823.0,762.0,33.0
Alaska_B,Alaska_B,U.S.A.,207.0,18.0,808.0,762.0,33.0
Cambridge,Cambridge,,,,,,
Des_Moines,Des_Moines,U.S.A.,142.0,15.0,823.0,762.0,33.0
Worcester,Worcester,U.S.A.,148.0,16.0,812.0,762.0,33.0
Puerto_Rico,Puerto_Rico,U.S.A.,248.0,18.0,808.0,762.0,33.0
Salem,Salem,U.S.A.,142.0,15.0,823.0,762.0,33.0
Austin,Austin,U.S.A.,136.0,15.0,808.0,,35.0
Jacksonville,Jacksonville,U.S.A.,152.0,18.0,812.0,762.0,34.0
Annapolis,Annapolis,U.S.A.,144.0,16.0,823.0,762.0,33.0
Sutlej,Sutlej,Commonwealth,78.0,8.0,811.0,,19.0
Port_Jackson,Port_Jackson,Commonwealth,117.0,11.0,773.0,773.0,26.0
Caradoc,Caradoc,Commonwealth,122.0,11.0,853.0,853.0,29.0
Dunedin,Dunedin,Commonwealth,126.0,12.0,853.0,853.0,29.0
Delhi,Delhi,Commonwealth,127.0,12.0,841.0,841.0,32.0
Hobart,Hobart,Commonwealth,123.0,13.0,841.0,841.0,32.0
Perth,Perth,Commonwealth,121.0,12.0,841.0,841.0,32.0
Mysore,Mysore,Commonwealth,129.0,14.0,811.0,870.0,31.0
Uganda,Uganda,Commonwealth,139.0,14.0,841.0,841.0,31.0
Gambia,Gambia,,,,,,
River_Gambra,River_Gambra,,,,,,
Auckland,Auckland,Commonwealth,143.0,14.0,841.0,841.0,33.0
Encounter,Encounter,Commonwealth,146.0,15.0,841.0,841.0,33.0
Hector,Hector,Commonwealth,140.0,15.0,792.0,792.0,34.0
Cerberus,Cerberus,Commonwealth,157.0,18.0,841.0,841.0,34.0
Brisbane,Brisbane,Commonwealth,141.0,15.0,768.0,768.0,33.0
Brisbane_B,Brisbane_B,,,,,,
Gryf,Gryf,Europe,95.0,10.0,900.0,,20.0
Elli,Elli,Europe,147.0,16.0,950.0,1000.0,37.0
Svea,Svea,Europe,139.0,16.0,900.0,900.0,34.0
Hermelin,Hermelin,Germany,88.0,9.0,900.0,,24.0
Dresden,Dresden,Germany,108.0,9.0,710.0,710.0,25.0
Emden,Emden,Germany,101.0,9.0,710.0,710.0,24.0
Kolberg,Kolberg,Germany,109.0,10.0,715.0,715.0,27.0
Karlsruhe,Karlsruhe,Germany,104.0,10.0,835.0,835.0,27.0
Königsberg,Königsberg,Germany,136.0,14.0,960.0,960.0,32.0
Nürnberg,Nürnberg,Germany,136.0,14.0,960.0,960.0,32.0
Admiral_Graf_Spee,Admiral_Graf_Spee,Germany,182.0,16.0,910.0,910.0,28.0
Leipzig,Leipzig,Germany,126.0,13.0,960.0,960.0,32.0
HSF_Admiral_Graf_Spee,HSF_Admiral_Graf_Spee,Germany,182.0,16.0,910.0,910.0,28.0
Yorck,Yorck,Germany,141.0,15.0,900.0,900.0,32.0
München,München,Germany,147.0,16.0,875.0,875.0,36.0
Weimar,Weimar,Germany,129.0,14.0,960.0,960.0,31.0
München_B,München_B,,,,,,
Admiral_Hipper,Admiral_Hipper,Germany,143.0,16.0,925.0,925.0,32.0
Prinz_Eugen,Prinz_Eugen,Germany,153.0,17.0,925.0,925.0,32.0
Mainz,Mainz,Germany,153.0,17.0,960.0,960.0,32.0
Schill,Schill,Germany,152.0,17.0,910.0,910.0,32.0
Mainz_B,Mainz_B,Germany,153.0,17.0,960.0,960.0,32.0
Cross_of_Dorn,Cross_of_Dorn,Germany,153.0,17.0,960.0,960.0,32.0
Wiesbaden,Wiesbaden,Germany,136.0,15.0,960.0,960.0,32.0
Roon,Roon,Germany,155.0,16.0,925.0,925.0,32.0
Siegfried,Siegfried,Germany,175.0,20.0,820.0,820.0,33.0
Ägir,Ägir,Germany,203.0,18.0,865.0,865.0,33.0
Admiral_Schröder,Admiral_Schröder,Germany,202.0,18.0,850.0,855.0,32.0
Blücher,Blücher,,,,,,
Roon_CLR,Roon_CLR,Germany,155.0,17.0,925.0,925.0,32.0
AL_Ägir,AL_Ägir,Germany,5.0,8.0,,,5.0
Hindenburg,Hindenburg,Germany,156.0,17.0,925.0,925.0,31.0
Hildebrand,Hildebrand,Germany,203.0,18.0,865.0,865.0,34.0
AL_Hindenburg,AL_Hindenburg,,,,,,
Clausewitz,Clausewitz,Germany,160.0,18.0,925.0,925.0,32.0
Orlan,Orlan,U.S.S.R.,101.0,9.0,870.0,,25.0
Diana,Diana,U.S.S.R.,103.0,11.0,753.0,792.0,19.0
Diana_Lima,Diana_Lima,U.S.S.R.,103.0,11.0,753.0,792.0,19.0
Novik,Novik,U.S.S.R.,102.0,9.0,823.0,823.0,25.0
Aurora,Aurora,U.S.S.R.,99.0,11.0,753.0,792.0,19.0
Bogatyr,Bogatyr,U.S.S.R.,111.0,10.0,753.0,792.0,24.0
Oleg,Oleg,U.S.S.R.,107.0,10.0,753.0,792.0,24.0
Varyag,Varyag,U.S.S.R.,108.0,10.0,753.0,792.0,25.0
AL_Avrora,AL_Avrora,U.S.S.R.,99.0,11.0,753.0,792.0,19.0
Svietlana,Svietlana,U.S.S.R.,103.0,10.0,823.0,823.0,29.0
Murmansk,Murmansk,U.S.S.R.,135.0,14.0,914.0,914.0,34.0
Kirov,Kirov,U.S.S.R.,145.0,16.0,800.0,800.0,35.0
Kotovsky,Kotovsky,U.S.S.R.,141.0,14.0,880.0,880.0,35.0
Krasny_Krym,Krasny_Krym,U.S.S.R.,129.0,14.0,861.0,861.0,29.0
Mikoyan,Mikoyan,U.S.S.R.,144.0,16.0,920.0,920.0,35.0
Budyonny,Budyonny,U.S.S.R.,147.0,15.0,950.0,950.0,35.0
Molotov,Molotov,U.S.S.R.,139.0,15.0,920.0,920.0,36.0
Admiral_Makarov,Admiral_Makarov,U.S.S.R.,145.0,16.0,960.0,960.0,32.0
Shchors,Shchors,U.S.S.R.,141.0,15.0,950.0,950.0,35.0
Lazo,Lazo,U.S.S.R.,152.0,17.0,950.0,950.0,33.0
Lazo_B,Lazo_B,U.S.S.R.,152.0,17.0,950.0,950.0,33.0
Chapayev,Chapayev,U.S.S.R.,152.0,15.0,950.0,950.0,33.0
Tallinn,Tallinn,U.S.S.R.,182.0,16.0,920.0,920.0,33.0
Mikhail_Kutuzov,Mikhail_Kutuzov,U.S.S.R.,164.0,19.0,950.0,950.0,33.0
Ochakov,Ochakov,U.S.S.R.,140.0,15.0,950.0,950.0,35.0
Pyotr_Bagration,Pyotr_Bagration,U.S.S.R.,160.0,18.0,920.0,930.0,34.0
Bagration,Bagration,"Ship=code for manual override -->
{{WoWs_Ship",,,,,
Dmitry_Pozharsky,Dmitry_Pozharsky,U.S.S.R.,157.0,18.0,1000.0,950.0,33.0
Dmitri_Donskoi,Dmitri_Donskoi,U.S.S.R.,155.0,16.0,920.0,920.0,36.0
Riga,Riga,U.S.S.R.,186.0,16.0,965.0,965.0,33.0
Kronshtadt,Kronshtadt,U.S.S.R.,241.0,18.0,920.0,900.0,33.0
Vyazma,Vyazma,,,,,,
Kozma_Minin,Kozma_Minin,U.S.S.R.,161.0,18.0,925.0,925.0,36.0
Moskva,Moskva,U.S.S.R.,167.0,19.0,985.0,985.0,34.0
