shell_time,distance,angle,enemy_speed,offset_x,angle_rad,sin_angle,cos_angle,offset_per_dist,travel_mult_angle,speed_ratio,enemy_speed_pred
3.61,7.03,54,30.0,3.0,0.9424777960769379,0.8090169943749475,0.5877852522924731,0.4267425320056899,2.92055134969356,0.1947367881615545,5.710490649807463
3.16,6.18,104,30.0,1.7,1.8151424220741028,0.9702957262759965,-0.24192189559966779,0.2750809061488673,3.066134495032149,0.11082274973963613,3.590759180627746
2.96,6.01,33,30.0,1.0,0.5759586531581288,0.5446390350150271,0.838670567945424,0.1663893510815308,1.61213154364448,0.06768015731526215,2.393443193747881
13.27,21.11,104,32.5,12.5,1.8151424220741028,0.9702957262759965,-0.24192189559966779,0.5921364282330649,12.875824287682473,0.6118485423799719,16.542784283567848
5.77,10.34,20,37.8,3.3,0.3490658503988659,0.3420201433256687,0.9396926207859084,0.3191489361702127,1.9734562269891083,0.15644683817185,6.108811226570779
5.14,9.57,23,37.8,3.4,0.4014257279586958,0.39073112848927377,0.9205048534524404,0.3552769070010449,2.008358000434867,0.16746954928484464,6.400173532814903
4.71,9.0,26,37.8,3.2,0.4537856055185257,0.4383711467890774,0.898794046299167,0.35555555555555557,2.0647281013765544,0.16176318474343465,6.412636407595704
6.05,10.7,31,37.8,3.3,0.5410520681182421,0.5150380749100542,0.8571673007021123,0.308411214953271,3.1159803532058277,0.15440112888030666,6.222620344603894
5.76,10.37,32,37.8,4.0,0.5585053606381855,0.5299192642332049,0.848048096156426,0.3857280617164899,3.0523349619832603,0.1905129004933328,7.099233198830789
5.21,9.73,36,37.8,3.8,0.6283185307179586,0.5877852522924731,0.8090169943749475,0.39054470709146966,3.062361164443785,0.18774433021186523,7.018022305955097
5.04,9.63,43,37.8,4.3,0.7504915783575618,0.6819983600624985,0.7313537016191705,0.4465212876427829,3.4372717347149924,0.2173563438729854,8.005468773452813
5.01,8.18,54,37.8,3.5,0.9424777960769379,0.8090169943749475,0.5877852522924731,0.42787286063569685,4.053175141818486,0.1511790930595438,7.0752144660194265
8.25,13.34,20,37.8,2.0,0.3490658503988659,0.3420201433256687,0.9396926207859084,0.14992503748125938,2.821666182436767,0.08555394185044413,3.388601006239191
7.82,12.9,22,37.8,1.9,0.3839724354387525,0.374606593415912,0.9271838545667874,0.14728682170542634,2.929423560512432,0.08291721425773455,3.2980942367208312
7.57,12.64,23,37.8,2.5,0.4014257279586958,0.39073112848927377,0.9205048534524404,0.19778481012658228,2.9578346426638027,0.1104331209439518,4.384503148341384
7.33,12.41,23,37.8,2.3,0.4014257279586958,0.39073112848927377,0.9205048534524404,0.185334407735697,2.864059171826377,0.103015786778995,3.931903679904581
7.09,12.2,24,37.8,2.5,0.4188790204786391,0.4067366430758002,0.9135454576426009,0.20491803278688525,2.8837627994074233,0.1138051048058113,4.335818109640784
6.88,12.0,25,37.8,2.0,0.4363323129985824,0.42261826174069944,0.9063077870366499,0.16666666666666666,2.9076136407760123,0.09228496259239424,3.497144329035539
6.7,11.63,27,37.8,1.5,0.47123889803846897,0.45399049973954675,0.8910065241883679,0.1289767841788478,3.0417363482549633,0.06888177128748735,2.701300435550117
6.41,11.28,28,37.8,1.3,0.4886921905584123,0.4694715627858908,0.882947592858927,0.11524822695035462,3.00931271745756,0.060520506617160894,2.499280270484649
6.11,11.12,28,37.8,1.4,0.4886921905584123,0.4694715627858908,0.882947592858927,0.12589928057553956,2.868471248621793,0.06740618403366085,2.6763269390565436
7.67,12.69,14,37.0,2.1,0.24434609527920614,0.24192189559966773,0.9702957262759965,0.16548463356973997,1.8555409392494515,0.09390393081346968,3.551608808921913
6.76,11.66,22,37.0,3.0,0.3839724354387525,0.374606593415912,0.9271838545667874,0.25728987993138935,2.532340571491565,0.13985284993381,5.770850231688932
5.67,10.25,30,37.0,2.5,0.5235987755982988,0.49999999999999994,0.8660254037844387,0.24390243902439024,2.8349999999999995,0.12214593393679604,4.4814447973636735
4.97,9.44,33,37.0,3.1,0.5759586531581288,0.5446390350150271,0.838670567945424,0.3283898305084746,2.7068560040246843,0.15913858345680795,6.174897269764242
4.44,9.09,37,37.0,4.0,0.6457718232379019,0.6018150231520483,0.7986355100472928,0.44004400440044006,2.6720587027950944,0.22132938769669253,7.128448360501385
3.97,7.94,41,37.0,3.5,0.7155849933176751,0.6560590289905073,0.754709580222772,0.44080604534005036,2.604554345092314,0.1891891415344936,7.0775457625264435
